#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z [],v_RS_R_x [m s^-1],v_RS_R_y [m s^-1],v_RS_R_z [m s^-1],b_w_RS_S_x [rad s^-1],b_w_RS_S_y [rad s^-1],b_w_RS_S_z [rad s^-1],b_a_RS_S_x [m s^-2],b_a_RS_S_y [m s^-2],b_a_RS_S_z [m s^-2]
135000000,0.000000000,0.000000000,0.000000000,0.999928993,0.000413534,0.011448254,0.003282659,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
140000000,0.000000000,0.000000000,0.000000000,0.999923581,0.000445342,0.011875749,0.003406023,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
145000000,0.000000000,0.000000000,0.000000000,0.999917966,0.000478328,0.012303490,0.003529510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
150000000,0.000000000,0.000000000,0.000000000,0.999912147,0.000512491,0.012731476,0.003653118,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
155000000,0.000000000,0.000000000,0.000000000,0.999906124,0.000547832,0.013159707,0.003776846,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
160000000,0.000000000,0.000000000,0.000000000,0.999899897,0.000584350,0.013588183,0.003900695,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
165000000,0.000000000,0.000000000,0.000000000,0.999893465,0.000622045,0.014016904,0.004024664,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
170000000,0.000000000,0.000000000,0.000000000,0.999886828,0.000660918,0.014445868,0.004148752,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
175000000,0.000000000,0.000000000,0.000000000,0.999879984,0.000700968,0.014875077,0.004272958,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
180000000,0.000000000,0.000000000,0.000000000,0.999872934,0.000742195,0.015304529,0.004397282,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
185000000,0.000000000,0.000000000,0.000000000,0.999865677,0.000784599,0.015734224,0.004521724,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
190000000,0.000000000,0.000000000,0.000000000,0.999858213,0.000828179,0.016164162,0.004646283,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
195000000,0.000000000,0.000000000,0.000000000,0.999850541,0.000872937,0.016594343,0.004770958,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
200000000,0.000000000,0.000000000,0.000000000,0.999842660,0.000918871,0.017024765,0.004895748,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
205000000,0.000000000,0.000000000,0.000000000,0.999834570,0.000965982,0.017455430,0.005020654,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
210000000,0.000000000,0.000000000,0.000000000,0.999826271,0.001014270,0.017886336,0.005145674,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
215000000,0.000000000,0.000000000,0.000000000,0.999817762,0.001063733,0.018317483,0.005270808,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
220000000,0.000000000,0.000000000,0.000000000,0.999809042,0.001114374,0.018748871,0.005396056,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
225000000,0.000000000,0.000000000,0.000000000,0.999800111,0.001166190,0.019180499,0.005521416,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
230000000,0.000000000,0.000000000,0.000000000,0.999790969,0.001219182,0.019612367,0.005646889,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
235000000,0.000000000,0.000000000,0.000000000,0.999781614,0.001273350,0.020044475,0.005772474,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
240000000,0.000000000,0.000000000,0.000000000,0.999772047,0.001328694,0.020476823,0.005898169,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
245000000,0.000000000,0.000000000,0.000000000,0.999762266,0.001385214,0.020909410,0.006023975,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
250000000,0.000000000,0.000000000,0.000000000,0.999752272,0.001442909,0.021342235,0.006149891,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
255000000,0.000000000,0.000000000,0.000000000,0.999742064,0.001501780,0.021775299,0.006275917,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
260000000,0.000000000,0.000000000,0.000000000,0.999731640,0.001561825,0.022208601,0.006402051,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
265000000,0.000000000,0.000000000,0.000000000,0.999721001,0.001623046,0.022642141,0.006528294,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
270000000,0.000000000,0.000000000,0.000000000,0.999710147,0.001685442,0.023075918,0.006654644,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
275000000,0.000000000,0.000000000,0.000000000,0.999699075,0.001749013,0.023509932,0.006781101,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
280000000,0.000000000,0.000000000,0.000000000,0.999687787,0.001813758,0.023944182,0.006907665,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
285000000,0.000000000,0.000000000,0.000000000,0.999676280,0.001879678,0.024378669,0.007034335,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
290000000,0.000000000,0.000000000,0.000000000,0.999664556,0.001946772,0.024813392,0.007161111,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
295000000,0.000000000,0.000000000,0.000000000,0.999652612,0.002015040,0.025248351,0.007287991,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
300000000,0.000000000,0.000000000,0.000000000,0.999640450,0.002084483,0.025683544,0.007414975,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
305000000,0.000000000,0.000000000,0.000000000,0.999628067,0.002155099,0.026118973,0.007542063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
310000000,0.000000000,0.000000000,0.000000000,0.999615463,0.002226889,0.026554636,0.007669255,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
315000000,0.000000000,0.000000000,0.000000000,0.999602639,0.002299852,0.026990534,0.007796548,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
320000000,0.000000000,0.000000000,0.000000000,0.999589592,0.002373989,0.027426665,0.007923944,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
325000000,0.000000000,0.000000000,0.000000000,0.999576324,0.002449299,0.027863030,0.008051441,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
330000000,0.000000000,0.000000000,0.000000000,0.999562832,0.002525781,0.028299628,0.008179039,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
335000000,0.000000000,0.000000000,0.000000000,0.999549116,0.002603437,0.028736459,0.008306737,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
340000000,0.000000000,0.000000000,0.000000000,0.999535177,0.002682265,0.029173522,0.008434535,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
345000000,0.000000000,0.000000000,0.000000000,0.999521012,0.002762265,0.029610817,0.008562432,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
350000000,0.000000000,0.000000000,0.000000000,0.999506622,0.002843438,0.030048344,0.008690428,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
355000000,0.000000000,0.000000000,0.000000000,0.999492007,0.002925782,0.030486102,0.008818521,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
360000000,0.000000000,0.000000000,0.000000000,0.999477164,0.003009298,0.030924091,0.008946712,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
365000000,0.000000000,0.000000000,0.000000000,0.999462094,0.003093986,0.031362311,0.009075000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
370000000,0.000000000,0.000000000,0.000000000,0.999446796,0.003179845,0.031800761,0.009203384,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
375000000,0.000000000,0.000000000,0.000000000,0.999431269,0.003266875,0.032239441,0.009331863,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
380000000,0.000000000,0.000000000,0.000000000,0.999415514,0.003355076,0.032678350,0.009460438,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
385000000,0.000000000,0.000000000,0.000000000,0.999399528,0.003444448,0.033117489,0.009589107,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
390000000,0.000000000,0.000000000,0.000000000,0.999383312,0.003534990,0.033556856,0.009717870,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
395000000,0.000000000,0.000000000,0.000000000,0.999366865,0.003626703,0.033996452,0.009846727,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
400000000,0.000000000,0.000000000,0.000000000,0.999350186,0.003719585,0.034436276,0.009975676,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
405000000,0.000000000,0.000000000,0.000000000,0.999333274,0.003813637,0.034876328,0.010104718,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
410000000,0.000000000,0.000000000,0.000000000,0.999316129,0.003908858,0.035316606,0.010233851,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
415000000,0.000000000,0.000000000,0.000000000,0.999298751,0.004005249,0.035757112,0.010363075,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
420000000,0.000000000,0.000000000,0.000000000,0.999281138,0.004102809,0.036197845,0.010492390,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
425000000,0.000000000,0.000000000,0.000000000,0.999263290,0.004201537,0.036638803,0.010621795,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
430000000,0.000000000,0.000000000,0.000000000,0.999245206,0.004301434,0.037079988,0.010751289,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
435000000,0.000000000,0.000000000,0.000000000,0.999226886,0.004402500,0.037521397,0.010880871,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
440000000,0.000000000,0.000000000,0.000000000,0.999208328,0.004504733,0.037963032,0.011010542,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
445000000,0.000000000,0.000000000,0.000000000,0.999189533,0.004608133,0.038404892,0.011140301,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
450000000,0.000000000,0.000000000,0.000000000,0.999170499,0.004712702,0.038846976,0.011270147,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
455000000,0.000000000,0.000000000,0.000000000,0.999151226,0.004818437,0.039289284,0.011400079,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
460000000,0.000000000,0.000000000,0.000000000,0.999131713,0.004925339,0.039731815,0.011530097,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
465000000,0.000000000,0.000000000,0.000000000,0.999111960,0.005033408,0.040174570,0.011660201,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
470000000,0.000000000,0.000000000,0.000000000,0.999091965,0.005142643,0.040617547,0.011790389,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
475000000,0.000000000,0.000000000,0.000000000,0.999071728,0.005253045,0.041060747,0.011920662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
480000000,0.000000000,0.000000000,0.000000000,0.999051249,0.005364612,0.041504169,0.012051018,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
485000000,0.000000000,0.000000000,0.000000000,0.999030526,0.005477344,0.041947812,0.012181457,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
490000000,0.000000000,0.000000000,0.000000000,0.999009559,0.005591241,0.042391677,0.012311978,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
495000000,0.000000000,0.000000000,0.000000000,0.998988347,0.005706304,0.042835762,0.012442582,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
500000000,0.000000000,0.000000000,0.000000000,0.998966890,0.005822531,0.043280068,0.012573267,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
505000000,0.000000000,0.000000000,0.000000000,0.998945186,0.005939922,0.043724595,0.012704032,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
510000000,0.000000000,0.000000000,0.000000000,0.998923235,0.006058477,0.044169341,0.012834878,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
515000000,0.000000000,0.000000000,0.000000000,0.998901037,0.006178196,0.044614306,0.012965804,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
520000000,0.000000000,0.000000000,0.000000000,0.998878590,0.006299078,0.045059490,0.013096808,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
525000000,0.000000000,0.000000000,0.000000000,0.998855894,0.006421122,0.045504893,0.013227891,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
530000000,0.000000000,0.000000000,0.000000000,0.998832948,0.006544330,0.045950513,0.013359052,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
535000000,0.000000000,0.000000000,0.000000000,0.998809751,0.006668700,0.046396352,0.013490290,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
540000000,0.000000000,0.000000000,0.000000000,0.998786303,0.006794232,0.046842408,0.013621605,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
545000000,0.000000000,0.000000000,0.000000000,0.998762603,0.006920925,0.047288681,0.013752996,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
550000000,0.000000000,0.000000000,0.000000000,0.998738649,0.007048780,0.047735170,0.013884462,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
555000000,0.000000000,0.000000000,0.000000000,0.998714443,0.007177796,0.048181876,0.014016004,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
560000000,0.000000000,0.000000000,0.000000000,0.998689981,0.007307972,0.048628797,0.014147620,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
565000000,0.000000000,0.000000000,0.000000000,0.998665265,0.007439309,0.049075934,0.014279310,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
570000000,0.000000000,0.000000000,0.000000000,0.998640292,0.007571806,0.049523285,0.014411073,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
575000000,0.000000000,0.000000000,0.000000000,0.998615063,0.007705462,0.049970852,0.014542909,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
580000000,0.000000000,0.000000000,0.000000000,0.998589576,0.007840277,0.050418632,0.014674817,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
585000000,0.000000000,0.000000000,0.000000000,0.998563831,0.007976252,0.050866626,0.014806797,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
590000000,0.000000000,0.000000000,0.000000000,0.998537827,0.008113384,0.051314834,0.014938848,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
595000000,0.000000000,0.000000000,0.000000000,0.998511563,0.008251675,0.051763254,0.015070969,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
600000000,0.000000000,0.000000000,0.000000000,0.998485038,0.008391124,0.052211887,0.015203160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
605000000,0.000000000,0.000000000,0.000000000,0.998458252,0.008531730,0.052660732,0.015335421,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
610000000,0.000000000,0.000000000,0.000000000,0.998431204,0.008673493,0.053109789,0.015467750,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
615000000,0.000000000,0.000000000,0.000000000,0.998403893,0.008816412,0.053559057,0.015600147,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
620000000,0.000000000,0.000000000,0.000000000,0.998376318,0.008960488,0.054008536,0.015732612,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
625000000,0.000000000,0.000000000,0.000000000,0.998348479,0.009105719,0.054458225,0.015865144,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
630000000,0.000000000,0.000000000,0.000000000,0.998320374,0.009252106,0.054908125,0.015997742,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
635000000,0.000000000,0.000000000,0.000000000,0.998292003,0.009399648,0.055358234,0.016130406,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
640000000,0.000000000,0.000000000,0.000000000,0.998263365,0.009548345,0.055808552,0.016263135,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
645000000,0.000000000,0.000000000,0.000000000,0.998234459,0.009698195,0.056259079,0.016395929,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
650000000,0.000000000,0.000000000,0.000000000,0.998205284,0.009849200,0.056709815,0.016528788,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
655000000,0.000000000,0.000000000,0.000000000,0.998175840,0.010001358,0.057160758,0.016661710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
660000000,0.000000000,0.000000000,0.000000000,0.998146126,0.010154669,0.057611909,0.016794694,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
665000000,0.000000000,0.000000000,0.000000000,0.998116141,0.010309132,0.058063268,0.016927742,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
670000000,0.000000000,0.000000000,0.000000000,0.998085883,0.010464748,0.058514833,0.017060851,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
